OSEBuildingID,BuildingType,PropertyName,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,SteamRatio,ElectricityRatio,NaturalGasRatio,SurfacePerBuilding,SurfacePerFloor,ParkingRatio,BuildingRatio,building_age
601,NonResidential,Wallingford Center,Lake Union,1.0,2,53002,0,53002,Retail,75.0,3441643.25,64.0,0.0,0.7480528378413422,0.25194708951893835,53002.0,26501.0,0.0,1.0,121
605,NonResidential,Lake Union Building,Lake Union,1.0,7,94002,0,94002,Office,70.0,5662234.0,39.47,0.0,1.0,0.0,94002.0,13428.857142857143,0.0,1.0,55
606,NonResidential,NWCP-SEA Bldg U,Greater Duwamish,1.0,1,93020,0,93020,Warehouse,60.0,1252323.875,8.73,0.0,1.000000099814435,0.0,93020.0,93020.0,0.0,1.0,51
609,NonResidential,111 S. Jackson,Downtown,1.0,5,78920,0,78920,Office,88.0,2830674.75,19.73,0.0,0.9999997350455047,0.0,78920.0,15784.0,0.0,1.0,121
610,NonResidential,FX McRory Building,Downtown,1.0,7,99440,0,99440,Office,64.0,6606832.5,134.69,0.0,0.7092431963425742,0.2907567279781953,99440.0,14205.714285714286,0.0,1.0,119
611,NonResidential,Westland Building,Downtown,1.0,6,73260,0,73260,Office,82.0,2853189.5,19.89,0.0,0.9999998247575214,0.0,73260.0,12210.0,0.0,1.0,118
612,NonResidential,The Globe Building,Downtown,1.0,4,69817,0,69817,Office,87.0,2178074.5,76.8,0.35402149352558876,0.5716622640777439,0.0743160989213179,69817.0,17454.25,0.0,1.0,125
615,NonResidential,Occidental Mall,Downtown,1.0,4,164380,0,164380,Office,79.0,7655751.0,130.31,0.05218799729771775,0.8094194808582463,0.1383924320422647,164380.0,41095.0,0.0,1.0,125
616,NonResidential,(ID616) Court in the Square,Downtown,1.0,7,160580,0,160580,Office,98.0,4336187.5,99.59,0.0800721616166275,0.6950993240029404,0.22482837746292106,160580.0,22940.0,0.0,1.0,118
620,NonResidential,Pacific Office Automation,Greater Duwamish,1.0,3,56700,0,56700,Office,37.0,2371575.0,31.58,0.0,0.8624715642558215,0.13752843574417845,56700.0,18900.0,0.0,1.0,115
621,NonResidential,1021-1045 6th Ave. S.,Greater Duwamish,1.0,1,82852,0,82852,Warehouse,83.0,2153603.5,65.56,0.0,0.4912998144737413,0.5087004176952721,82852.0,82852.0,0.0,1.0,103
623,NonResidential,Hullin Transfer Building,Greater Duwamish,1.0,2,92792,0,92792,Warehouse,56.0,3155496.0,74.18,0.0,0.6416021443221605,0.35839785567783955,92792.0,46396.0,0.0,1.0,63
625,NonResidential,"2200 Equities, LLC",Greater Duwamish,1.0,4,129000,25800,103200,Office,80.0,4374646.0,30.5,0.0,0.9999997714100752,0.0,103200.0,25800.0,0.2,0.8,125
626,NonResidential,Warehouse 1,Greater Duwamish,1.0,1,78814,0,78814,Warehouse,69.0,861972.875,16.48,0.0,0.7368294506947217,0.2631706943214425,78814.0,78814.0,0.0,1.0,71
628,NonResidential,Palmer Court Building,Greater Duwamish,1.0,6,75600,10800,64800,Warehouse,15.0,2688675.75,18.74,0.0,0.999999721052269,0.0,64800.0,10800.0,0.14285714285714285,0.8571428571428571,115
630,NonResidential,The Reedo Building,Downtown,1.0,4,66842,0,66842,Office,31.0,5608600.5,138.35,0.0,0.6164710786585709,0.3835288321926299,66842.0,16710.5,0.0,1.0,121
632,NonResidential,Provident Building,Downtown,1.0,6,75288,10800,64488,Office,81.0,2891605.0,20.18,0.0,0.9998699684085482,0.00013003159145180617,64488.0,10748.0,0.14344915524386356,0.8565508447561364,116
633,NonResidential,83 S KING ST BLDG (ID633),Downtown,1.0,7,184322,0,184322,Office,81.0,9722890.0,67.78,0.0,0.9999998971499214,0.0,184322.0,26331.714285714286,0.0,1.0,121
635,NonResidential,1201 Building,Greater Duwamish,1.0,2,64512,0,64512,Office,53.0,5968153.5,180.76,0.0,0.49464863797487785,0.5053514458031282,64512.0,32256.0,0.0,1.0,111
638,NonResidential,West Coast Building,Greater Duwamish,1.0,7,144050,0,144050,Warehouse,26.0,3929371.0,98.43,0.0,0.6081953065770578,0.3918046934229423,144050.0,20578.571428571428,0.0,1.0,99
639,NonResidential,Green Room,Greater Duwamish,1.0,3,60592,0,60592,Office,16.0,5049446.5,47.25,0.0,0.9483047300332819,0.051695170945964077,60592.0,20197.333333333332,0.0,1.0,95
641,NonResidential,The Home Depot,Greater Duwamish,1.0,1,107930,0,107930,Retail,57.0,7221482.5,100.42,0.0,0.8496999058018904,0.15029988648452725,107930.0,107930.0,0.0,1.0,32
642,NonResidential,99/55 South Spokane St. Whse,Greater Duwamish,1.0,1,99084,0,99084,Warehouse,83.0,1618110.375,49.25,0.0,0.49136821089846855,0.5086315573497265,99084.0,99084.0,0.0,1.0,99
647,NonResidential,Ferguson Building,Delridge,1.0,1,72719,0,72719,Warehouse,28.0,2581741.75,42.74,0.0,0.792269404947261,0.20773069188659168,72719.0,72719.0,0.0,1.0,72
649,NonResidential,INScape,East,1.0,4,76624,0,76624,Office,91.0,2773647.5,33.41,0.0,0.8900002613886588,0.10999955834330065,76624.0,19156.0,0.0,1.0,95
650,NonResidential,45th Street Plaza,Northeast,1.0,6,91706,36583,55123,Office,2.0,8570571.0,59.75,0.0,0.9999998833216597,0.0,55123.0,9187.166666666666,0.39891610145464856,0.6010838985453515,24
652,NonResidential,West Seattle Corporate Center,Delridge,1.0,5,138106,16221,121885,Office,41.0,8381834.5,58.43,0.0,0.9999998210415632,0.0,121885.0,24377.0,0.11745326053900627,0.8825467394609937,34
654,NonResidential,AIRPORT WAY SOUTH,Greater Duwamish,1.0,1,56572,0,56572,Retail,66.0,2409429.0,67.29,0.0,0.5458077411702109,0.45419225882978914,56572.0,56572.0,0.0,1.0,52
661,NonResidential,Elmer J. Nordstrom Medical Tower,East,1.0,10,422503,206580,215923,Medical Office,46.0,17254810.0,190.1,0.05761606836006888,0.9423838338411145,0.0,215923.0,21592.3,0.48894327377557084,0.5110567262244292,40
671,NonResidential,Jefferson Tower,Central,1.0,7,94500,0,94500,Medical Office,68.0,5792926.0,40.38,0.0,0.9999998273756647,0.0,94500.0,13500.0,0.0,1.0,38
673,NonResidential,#8944 West Seattle,Delridge,1.0,1,94713,0,94713,Retail,79.0,5417598.0,94.74,0.0,0.772095124075282,0.22790487592471792,94713.0,94713.0,0.0,1.0,20
674,NonResidential,7th and Madison,East,1.0,9,302902,101342,201560,Medical Office,58.0,14751117.0,130.32,0.0,0.9596200748729741,0.04037978954407317,201560.0,22395.555555555555,0.33457025704683363,0.6654297429531664,17
679,NonResidential,Mutual Life Building,Downtown,1.0,6,56700,0,56700,Office,55.0,3065954.5,21.37,0.0,0.9999998369186497,0.0,56700.0,9450.0,0.0,1.0,125
680,NonResidential,RDA Building,Greater Duwamish,1.0,4,72000,0,72000,Office,89.0,2729167.75,23.48,0.0,0.9646131132833443,0.035386611907604434,72000.0,18000.0,0.0,1.0,100
681,NonResidential,1633 Westlake Building,Magnolia / Queen Anne,1.0,4,191146,94892,96254,Office,93.0,5101504.5,35.56,0.0,0.9999999019896973,0.0,96254.0,24063.5,0.49643727831082,0.50356272168918,25
685,NonResidential,818 Stewart,Downtown,1.0,14,362046,0,362046,Office,86.0,15725581.0,116.95,0.0,0.98991261435746,0.010087194870574257,362046.0,25860.428571428572,0.0,1.0,17
690,NonResidential,One Convention Place,Downtown,1.0,23,538933,0,538933,Office,90.0,16020642.0,111.69,0.0,0.9999998751610578,0.0,538933.0,23431.869565217392,0.0,1.0,24
693,NonResidential,Queen Anne Square East (200),Magnolia / Queen Anne,1.0,5,98668,0,98668,Office,91.0,4391348.0,30.61,0.0,1.0,0.0,98668.0,19733.6,0.0,1.0,43
694,NonResidential,Rainier Brewery,Greater Duwamish,1.0,1,158931,28381,130550,Office,12.0,8751704.0,98.54,0.0,0.9070517010173105,0.09294818471922725,130550.0,130550.0,0.17857434987510304,0.821425650124897,18
700,NonResidential,IUC- Whole Foods Interbay,Magnolia / Queen Anne,1.0,1,57176,0,57176,Supermarket/Grocery Store,31.0,12525174.0,0.0,0.0,0.0,0.0,57176.0,57176.0,0.0,1.0,17
701,NonResidential,Elliot Industrial,Magnolia / Queen Anne,1.0,1,50660,0,50660,Retail,51.0,2661488.0,60.7,0.0,0.6567656889679758,0.3432343110320242,50660.0,50660.0,0.0,1.0,47
